user,password,credit
user1,password1,62.65
user2,password2,18.36
user3,password3,83.56
user4,password4,159.53
user5,password5,32.95
user6,password6,82.05
user7,password7,48.74
user8,password8,73.83
user9,password9,57.58
user10,password10,30.54
user11,password11,151.18
user12,password12,38.98
user13,password13,62.12
user14,password14,221.47
user15,password15,112.49
user16,password16,4.49
user17,password17,1.62
user18,password18,94.38
user19,password19,82.12
user20,password20,59.39
user21,password21,91.9
user22,password22,78.21
user23,password23,7.46
user24,password24,198.94
user25,password25,61.98
user26,password26,5.61
user27,password27,15.58
user28,password28,147.08
user29,password29,47.82
user30,password30,41.79
user31,password31,135.87
user32,password32,10.28
user33,password33,38.77
user34,password34,5.38
user35,password35,137.71
user36,password36,41.5
user37,password37,39.43
user38,password38,5.93
user39,password39,110
user40,password40,76.32
user41,password41,16.45
user42,password42,25.34
user43,password43,69.7
user44,password44,55.67
user45,password45,68.88
user46,password46,70.75
user47,password47,36.46
user48,password48,76.85
user49,password49,11.23
user50,password50,88.11
user51,password51,39.81
user52,password52,61.2
user53,password53,34.11
user54,password54,112.94
user55,password55,143.3
user56,password56,198.04
user57,password57,36.72
user58,password58,104.41
user59,password59,56.97
user60,password60,13.51
user61,password61,240.16
user62,password62,3.92
user63,password63,68.97
user64,password64,2.8
user65,password65,74.33
user66,password66,18.88
user67,password67,180.5
user68,password68,146.56
user69,password69,15.33
user70,password70,217.26
user71,password71,47.55
user72,password72,70.99
user73,password73,61.07
user74,password74,93.41
user75,password75,125.36
user76,password76,29.14
user77,password77,44.33
user78,password78,0.11
user79,password79,7.43
user80,password80,58.95
user81,password81,56.87
user82,password82,13.52
user83,password83,117.81
user84,password84,152.36
user85,password85,59.39
user86,password86,33.3
user87,password87,106.31
user88,password88,30.42
user89,password89,37
user90,password90,26.71
user91,password91,54.25
user92,password92,120.79
user93,password93,116.04
user94,password94,70.02
user95,password95,158.68
user96,password96,55.85
user97,password97,127.66
user98,password98,57.33
user99,password99,122.46
user100,password100,47.34
user101,password101,62.04
user102,password102,4.21
user103,password103,91.09
user104,password104,15.8
user105,password105,65.46
user106,password106,176.73
user107,password107,71.67
user108,password108,91.02
user109,password109,38.42
user110,password110,168.22
user111,password111,63.57
user112,password112,46.16
user113,password113,143.23
user114,password114,65.07
user115,password115,20.74
user116,password116,39.28
user117,password117,32
user118,password118,27.91
user119,password119,49.42
user120,password120,17.73
user121,password121,50.6
user122,password122,134.3
user123,password123,21.46
user124,password124,17.96
user125,password125,10.02
user126,password126,71.27
user127,password127,7.36
user128,password128,3.76
user129,password129,68.17
user130,password130,32.43
user131,password131,6.02
user132,password132,58.89
user133,password133,53.15
user134,password134,151.84
user135,password135,30.66
user136,password136,153.64
user137,password137,30.1
user138,password138,52.83
user139,password139,65.21
user140,password140,5.69
user141,password141,191.44
user142,password142,117.66
user143,password143,166.5
user144,password144,46.35
user145,password145,111.59
user146,password146,75.08
user147,password147,208.72
user148,password148,1.74
user149,password149,128.63
user150,password150,164.06
user151,password151,45.02
user152,password152,1.86
user153,password153,31.81
user154,password154,92.94
user155,password155,148.75
user156,password156,107.52
user157,password157,100
user158,password158,62.13
user159,password159,138.44
user160,password160,186.93
user161,password161,42.51
user162,password162,23.86
user163,password163,105.85
user164,password164,88.64
user165,password165,61.92
user166,password166,220.61
user167,password167,25.5
user168,password168,142.45
user169,password169,14.44
user170,password170,20.75
user171,password171,230.8
user172,password172,10.58
user173,password173,45.7
user174,password174,7.72
user175,password175,33.4
user176,password176,3.47
user177,password177,78.76
user178,password178,207.52
user179,password179,102.74
user180,password180,120.79
user181,password181,123.13
user182,password182,98.39
user183,password183,21.99
user184,password184,146.73
user185,password185,52.1
user186,password186,15.88
user187,password187,146.46
user188,password188,76.61
user189,password189,43.02
user190,password190,92.61
user191,password191,17.71
user192,password192,40.2
user193,password193,73.17
user194,password194,83.04
user195,password195,120.81
user196,password196,104.8
user197,password197,144.12
user198,password198,101.58
user199,password199,41.2
user200,password200,38.11
user201,password201,40.94
user202,password202,168.89
user203,password203,158.66
user204,password204,33.09
user205,password205,228.52
user206,password206,249.77
user207,password207,66.71
user208,password208,54.13
user209,password209,1.34
user210,password210,51.01
user211,password211,16.44
user212,password212,42.07
user213,password213,40.02
user214,password214,137.02
user215,password215,98.78
user216,password216,151.97
user217,password217,30.87
user218,password218,125.33
user219,password219,64.22
user220,password220,4.47
user221,password221,173.32
user222,password222,0.21
user223,password223,63.03
user224,password224,34.1
user225,password225,115.66
user226,password226,180.31
user227,password227,33.11
user228,password228,160.55
user229,password229,19.72
user230,password230,26.32
user231,password231,98.58
user232,password232,288.89
user233,password233,64.05
user234,password234,57.05
user235,password235,5.97
user236,password236,9.82
user237,password237,56.08
user238,password238,118.65
user239,password239,109.68
user240,password240,0.53
user241,password241,70.73
user242,password242,103.41
user243,password243,22.35
user244,password244,87.87
user245,password245,116.3
user246,password246,200.02
user247,password247,54.48
user248,password248,25.57
user249,password249,16.61
user250,password250,102.05
user251,password251,13.62
user252,password252,40.72
user253,password253,6.97
user254,password254,24.77
user255,password255,69.56
user256,password256,114.62
user257,password257,240.31
user258,password258,57.27
user259,password259,37.47
user260,password260,42.53
user261,password261,95.1
user262,password262,38.92
user263,password263,28.43
user264,password264,85.74
user265,password265,171.96
user266,password266,27.01
user267,password267,42.22
user268,password268,118.91
user269,password269,33.1
user270,password270,93.98
user271,password271,25.89
user272,password272,39.44
user273,password273,85.19
user274,password274,264.92
user275,password275,15.6
user276,password276,113.02
user277,password277,228.91
